id,title,bathrooms,features,address,macrozone,microzone,latitude,longitude,price_n,surface_n,rooms_n,price_sqm,surface_room,accesso per disabili,aria condizionata,armadi,armadio a muro,arredata,arredato,ascensore,attacco telefonico,bagno in comune,bagno per disabili,bagno privato,balcone,caminetto,campo da tennis,cancello elettrico,cantina,con biancheria,connessione ad internet,cucina,esposizione doppia,esposizione esterna,esposizione interna,fibra ottica,giardino,impianto di allarme,impianto tv centralizzato,impianto tv con parabola satellitare,ingresso privato,lavastoviglie,lavatrice,microonde,moquette,palestra,parquet,parzialmente arredato,piscina,porta blindata,portineria,ripostiglio,sistema di allarme,taverna,terrazzo,tv,tv satellitare/pay tv,videocitofono,heating_Assente,heating_Autonomo,heating_Centralizzato,bikemi_density_500m,tram_density_500m,metro_density_750m
127541486,"Stanza in affitto in appartamento via Savona, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Savona,"Solari, Washington",Solari,45.4518,9.15618,815,127,5,6.417322834645669,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,10,3
127513736,"Stanza in affitto in appartamento viale Tunisia, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Tunisia,"Porta Venezia, Indipendenza",Porta Venezia,45.4773,9.20508,785,115,5,6.826086956521739,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,7,14,4
127356355,"Stanza in affitto in appartamento via Guido Guarini Matteucci, Milano",3,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Guido Guarini Matteucci,"Bicocca, Niguarda",Ca' Granda,45.5052,9.19938,750,140,5,5.357142857142857,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,2,18,2
127490494,"Stanza in affitto in appartamento viale Tibaldi, Milano",1,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Tibaldi,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4434,9.17731,730,75,4,9.733333333333333,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,4,7,0
127355767,"Stanza in affitto in appartamento via Bartolomeo d'Alviano, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Bartolomeo d'Alviano,"Bande Nere, Inganni",Lorenteggio,45.453,9.14127,715,130,5,5.5,20.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,3,1,3
127602212,"Stanza in affitto in appartamento viale Bligny, Milano",3+,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Bligny,Navigli,Bocconi,45.4508,9.19124,720,141,5,5.106382978723405,22.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,6,18,2
127326439,"Stanza in affitto in appartamento via Giuseppe Frua, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giuseppe Frua,"Solari, Washington",Frua,45.4653,9.14755,815,150,5,5.433333333333334,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,2,4,3
127303993,"Stanza in affitto in appartamento via Carlo Marx, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Carlo Marx,"Bisceglie, Baggio, Olmi",Quarto Cagnino,45.4737,9.111,725,116,5,6.25,18.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,0,0,1
127513950,"Stanza in affitto in appartamento via Giuseppe Frua, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giuseppe Frua,"Solari, Washington",Frua,45.4653,9.14755,815,150,5,5.433333333333334,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,2,4,3
127356393,"Stanza in affitto in appartamento via Intra, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Intra,"Maggiolina, Istria",Maggiolina,45.5017,9.19935,750,140,5,5.357142857142857,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,1,8,3
127356357,"Stanza in affitto in appartamento largo Vulci, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Largo Vulci,"Maggiolina, Istria",Istria,45.4984,9.19354,750,15,5,50,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,2,6,5
127326257,"Stanza in affitto in appartamento via Giuseppe Arimondi, Milano",2,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giuseppe Arimondi,"Uptown, Cascina Merlata, Viale Certosa",Ghisolfa - Mac Mahon,45.4895,9.15383,745,127,5,5.866141732283465,20.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,2,12,0
127646568,"Stanza in affitto in appartamento via Andrea Costa, Milano",1,"fibra ottica, porta blindata, esposizione esterna, balcone, impianto tv centralizzato",Via Andrea Costa,"Pasteur, Rovereto",Pasteur,45.4867,9.21822,840,15,5,56,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,5,3,4
127602436,"Stanza in affitto in appartamento via Giuseppe Ripamonti, Milano",1,"fibra ottica, porta blindata, esposizione esterna, balcone, impianto tv centralizzato",Via Giuseppe Ripamonti,"Ripamonti, Vigentino",Vigentino - Fatima,45.4289,9.20273,780,147,4,5.306122448979592,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,TRUE,FALSE,0,3,0
