id,heating,macrozone,microzone,latitude,longitude,photo_count,price,sqm,n_rooms,n_bath,floor_num,has_elevator,feat_arredato,feat_balcone,feat_ascensore,feat_lavatrice,feat_aria_condizionata,feat_portineria,feat_terrazzo,feat_giardino,feat_lavastoviglie
127356431,Autonomo,"Centrale, Repubblica",Repubblica,45.4778,9.20009,15,970,142,5,2,3,0,0,0,0,0,0,0,0,0,0
127355593,Autonomo,"Cenisio, Sarpi, Isola",Isola,45.4885,9.19293,23,895,15,5,2,2,1,0,0,0,0,0,0,0,0,0
127094287,Autonomo,"Porta Romana, Cadore, Montenero",Montenero,45.4613,9.20744,12,1035,80,5,1,2,0,0,0,0,0,0,0,0,0,0
127356263,Autonomo,"Cenisio, Sarpi, Isola",Farini,45.4953,9.17548,13,1205,15,1,1,1,0,0,0,0,0,0,0,0,0,0
127570216,Autonomo,Centro,Sant'Ambrogio,45.4602,9.17645,39,885,110,6,2,1,1,0,0,0,0,0,0,0,0,0
127355555,Autonomo,Navigli,Bocconi,45.4508,9.19124,24,1245,188,6,4,2,1,0,0,0,0,0,0,0,0,0
127355549,Autonomo,"Solari, Washington",Solari,45.4596,9.16704,30,900,127,5,2,2,1,0,0,0,0,0,0,0,0,0
127646770,Autonomo,"Quadronno, Palestro, Guastalla",Quadronno - Crocetta,45.4565,9.20264,39,875,202,6,2,4,1,0,0,0,0,0,0,0,0,0
127541508,Autonomo,"Genova, Ticinese",Ticinese,45.4555,9.18524,18,850,143,6,2,1,1,0,0,0,0,0,0,0,0,0
127462550,Autonomo,"Napoli, Soderini",Tripoli - Soderini,45.4559,9.15149,16,1095,584,6,4,1,0,0,0,0,0,0,0,0,0,0
127356413,Autonomo,"Solari, Washington",Solari,45.4573,9.16933,12,890,200,6,2,1,0,0,0,0,0,0,0,1,0,0
127317623,Autonomo,Navigli,Navigli - Darsena,45.4473,9.16227,24,935,140,5,2,5,1,0,0,0,0,0,0,0,0,0
127304017,Autonomo,"Cenisio, Sarpi, Isola",Isola,45.4885,9.19293,26,935,15,5,2,2,1,0,0,0,0,0,0,0,0,0
127513806,Autonomo,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4441,9.1836,10,965,180,6,3,2,0,0,0,0,0,0,0,0,0,0
