id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
127541900,"Stanza in affitto in appartamento via Giotto, Milano", € 450.00 ,€ 450/mese,5+,2,164 m²,1°,Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giotto,"Solari, Washington",Vercelli - Wagner,45.4692,9.15634,Spacest.com by Roomless,02 8974 1955,25,https://www.immobiliare.it/annunci/127541900/,
127504534,"Stanza in affitto in appartamento via Ernesto Breda, Milano", € 330.00 ,€ 330/mese,5+,2,151 m²,1°,Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Ernesto Breda,"Precotto, Turro",Villa San Giovanni,45.5189,9.2214,Spacest.com by Roomless,02 8974 1955,18,https://www.immobiliare.it/annunci/127504534/,
127303403,"Stanza in affitto in appartamento via Zante, Milano", € 470.00 ,€ 470/mese,5+,2,140 m²,"3°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Zante,Forlanini,Quartiere Forlanini,45.4556,9.24846,Spacest.com by Roomless,02 8974 1955,27,https://www.immobiliare.it/annunci/127303403/,
127647050,"Stanza in affitto in appartamento via Zante, Milano", € 450.00 ,€ 450/mese,5+,2,140 m²,"3°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Zante,Forlanini,Quartiere Forlanini,45.4556,9.24846,Spacest.com by Roomless,02 8974 1955,26,https://www.immobiliare.it/annunci/127647050/,
125341349,"Stanza singola via Padova, Milano", € 500.00 ,€ 500/mese,3,1,15 m²,4°,Assente,"balcone, portineria, bagno in comune, parquet",Via Padova,"Cimiano, Crescenzago, Adriano",Cimiano,45.5022,9.2379,Immobiliare Piola,039 240 3287,13,https://www.immobiliare.it/annunci/125341349/,
120209326,"Stanza singola via Ferdinando Lassalle 2, Milano", € 445.00 ,€ 445/mese,2,1,58 m²,1°,Assente,"giardino, balcone, cucina, lavatrice, lavastoviglie, portineria, bagno in comune, aria condizionata, armadi",Via Ferdinando Lassalle,"Abbiategrasso, Chiesa Rossa",Chiesa Rossa,45.4317,9.182,Marnini Sas,02 5964 7482,13,https://www.immobiliare.it/annunci/120209326/,
125866583,"Stanza singola via Raffaello Giolli 28, Milano", € 580.00 ,€ 580/mese,5,2,11 m²,8°,Assente,"ripostiglio, giardino, balcone, cucina, connessione ad internet, lavatrice, lavastoviglie, microonde, bagno in comune, armadi",Via Raffaello Giolli,"Bicocca, Niguarda",Bignami - Ponale,45.5274,9.2111,Chance immobiliare,02 8127 3297,19,https://www.immobiliare.it/annunci/125866583/,
127159473,"Stanza doppia via Anna Neera 25/3, Milano", € 550.00 ,€ 550/mese,4,1,25 m²,Piano rialzato,Assente,"giardino, cucina, lavatrice, lavastoviglie, microonde, portineria, bagno in comune, armadi",Via Anna Neera,"Abbiategrasso, Chiesa Rossa",Cermenate - Abbiategrasso,45.4335,9.1796,Volpi Immobiliare,02 3540 7932,14,https://www.immobiliare.it/annunci/127159473/,
127515790,"Stanza singola via Giuseppe Sacconi 6, Milano", € 500.00 ,€ 500/mese,3,1,88 m²,1°,Assente,"balcone, cucina, connessione ad internet, lavatrice, bagno in comune, aria condizionata, armadi",Via Giuseppe Sacconi,"Corvetto, Rogoredo",Corvetto,45.4421,9.2228,Affiliato Tecnocasa: STIMA IMMOBILIARE SRL,02 9475 9672,20,https://www.immobiliare.it/annunci/127515790/,
127533904,"Stanza singola via Salvatore Rosa 2, Milano", € 450.00 ,€ 450/mese,5+,2,14 m²,Piano terra,Assente,"ripostiglio, cucina, connessione ad internet, lavatrice, portineria, bagno in comune, parquet, aria condizionata",Via Salvatore Rosa,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.4952,9.1428,Immobiliare DsT,039 974 7101,17,https://www.immobiliare.it/annunci/127533904/,
126175061,"Stanza doppia via Console Marcello 36, Milano", € 450.00 ,€ 450/mese,3,1,60 m²,1°,Assente,"balcone, cucina, lavatrice, lavastoviglie, microonde, bagno in comune",Via Console Marcello,"Affori, Bovisa",Bovisa,45.5019,9.1446,4Real Estate,02 5964 9472,33,https://www.immobiliare.it/annunci/126175061/,
124343417,"Stanza singola via Savona 90, Milano", € 550.00 ,€ 550/mese,3,1,60 m²,1°,Assente,"ripostiglio, cucina, lavatrice, microonde, portineria, bagno in comune, armadi",Via Savona,"Napoli, Soderini",Piazza Napoli,45.4511,9.1539,Fassi - Case che Valgono,02 8736 2520,19,https://www.immobiliare.it/annunci/124343417/,
87582048,"Stanza doppia via Luigi Alamanni 18, Milano", € 500.00 ,€ 1.000/mese | € 500 a posto letto,4,1,90 m²,2°,Centralizzato,"connessione ad internet, ripostiglio, cucina, giardino, portineria, lavatrice, microonde, ascensore, ingresso privato, parquet, armadi, arredato",Via Luigi Alamanni,"Ripamonti, Vigentino",Vigentino - Fatima,45.4334,9.19856,Privato/Nessuna,,20,https://www.immobiliare.it/annunci/87582048/,
127446952,"Stanza singola via Monte Palombino 8, Milano", € 470.00 ,€ 470/mese,4,1,30 m²,2°,Assente,"ripostiglio, giardino, cucina, lavatrice, microonde, bagno in comune, tv, armadi",Via Monte Palombino,"Ponte Lambro, Santa Giulia",Santa Giulia,45.432,9.2444,Team Clementi Immobiliare - Area Nord,02 9994 9523,25,https://www.immobiliare.it/annunci/127446952/,
123440331,"Stanza doppia via Sidney Costantino Sonnino 12, Milano", € 500.00 ,€ 500/mese,4,2,20 m²,Piano rialzato,Assente,"balcone, cucina, connessione ad internet, lavatrice, portineria, bagno in comune, parquet, armadi",Via Sidney Costantino Sonnino,"Uptown, Cascina Merlata, Viale Certosa",Certosa,45.4933,9.1475,David Andrea Trinca,039 930 0309,13,https://www.immobiliare.it/annunci/123440331/,
