id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
127132847,"Stanza in affitto in appartamento viale Bligny, Milano",760,€ 760/mese,4,2,83 m²,"3°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Bligny,Navigli,Bocconi,45.4508,9.19124,Spacest.com by Roomless,02 8974 1955,18,https://www.immobiliare.it/annunci/127132847/,
127326189,"Stanza in affitto in appartamento viale Bligny, Milano",760,€ 760/mese,4,2,83 m²,"3°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Bligny,Navigli,Bocconi,45.4508,9.19124,Spacest.com by Roomless,02 8974 1955,18,https://www.immobiliare.it/annunci/127326189/,
127384837,"Stanza in affitto in appartamento via Giovanni Boccaccio, Milano",790,€ 790/mese,5+,3,220 m²,3°,Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giovanni Boccaccio,"Arco della Pace, Arena, Pagano",Vincenzo Monti,45.4676,9.16741,Spacest.com by Roomless,02 8974 1955,8,https://www.immobiliare.it/annunci/127384837/,
127356151,"Stanza in affitto in appartamento largo Tel Aviv, Milano",750,€ 750/mese,3,1,75 m²,2°,Assente,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Largo Tel Aviv,"Cimiano, Crescenzago, Adriano",Cimiano,45.4984,9.23438,Spacest.com by Roomless,02 8974 1955,42,https://www.immobiliare.it/annunci/127356151/,
127326251,"Stanza in affitto in appartamento via Zante, Milano",800,€ 800/mese,3,1,89 m²,1°,Assente,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Zante,Forlanini,Quartiere Forlanini,45.4581,9.24783,Spacest.com by Roomless,02 8974 1955,12,https://www.immobiliare.it/annunci/127326251/,
127257359,"Stanza singola via Leone Tolstoj 64, Milano",770,€ 770/mese,5,1,,1°,Centralizzato,"balcone, connessione ad internet, lavatrice, lavastoviglie, microonde, portineria, con biancheria, tv, cucina",Via Leone Tolstoj,"Napoli, Soderini",Tripoli - Soderini,45.4545,9.14923,Privato/Nessuna,,12,https://www.immobiliare.it/annunci/127257359/,
127513696,"Stanza in affitto in appartamento via Antonio Grossich, Milano",800,€ 800/mese,3,1,70 m²,5°,Assente,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Antonio Grossich,"Città Studi, Susa",Città Studi,45.483,9.23407,Spacest.com by Roomless,02 8974 1955,13,https://www.immobiliare.it/annunci/127513696/,
127462674,"Stanza in affitto in appartamento via Lazzaretto, Milano",765,€ 765/mese,5+,2,155 m²,"4°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Lazzaretto,"Centrale, Repubblica",Repubblica,45.4783,9.20238,Spacest.com by Roomless,02 8974 1955,10,https://www.immobiliare.it/annunci/127462674/,
127570362,"Stanza in affitto in appartamento via Giulio e Corrado Venini, Milano",785,€ 785/mese,5,2,124 m²,"2°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Giulio e Corrado Venini,"Centrale, Repubblica",Centrale,45.4865,9.21048,Spacest.com by Roomless,02 8974 1955,8,https://www.immobiliare.it/annunci/127570362/,
127513714,"Stanza in affitto in appartamento via Francesco de Sanctis, Milano",800,€ 800/mese,3,1,70 m²,5°,Assente,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Francesco de Sanctis,"Abbiategrasso, Chiesa Rossa",Cermenate - Abbiategrasso,45.436,9.17505,Spacest.com by Roomless,02 8974 1955,10,https://www.immobiliare.it/annunci/127513714/,
127462808,"Stanza in affitto in appartamento corso Lodi, Milano",710,€ 710/mese,5,2,116 m²,"1°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, terrazzo, impianto tv centralizzato",Corso Lodi,"Corvetto, Rogoredo",Corvetto,45.4403,9.22312,Spacest.com by Roomless,02 8974 1955,8,https://www.immobiliare.it/annunci/127462808/,
127355969,"Stanza in affitto in appartamento via Cipriano Facchinetti, Milano",750,€ 750/mese,4,1,80 m²,1°,Assente,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Via Cipriano Facchinetti,Forlanini,Quartiere Forlanini,45.4616,9.23894,Spacest.com by Roomless,02 8974 1955,16,https://www.immobiliare.it/annunci/127355969/,
127602598,"Stanza in affitto in appartamento viale Bligny, Milano",720,€ 720/mese,5+,3+,141 m²,"1°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Bligny,Navigli,Bocconi,45.4508,9.19124,Spacest.com by Roomless,02 8974 1955,15,https://www.immobiliare.it/annunci/127602598/,
127602214,"Stanza in affitto in appartamento viale Bligny, Milano",720,€ 720/mese,5+,3+,141 m²,"1°, con ascensore",Autonomo,"fibra ottica, porta blindata, esposizione esterna, impianto tv centralizzato",Viale Bligny,Navigli,Bocconi,45.4508,9.19124,Spacest.com by Roomless,02 8974 1955,15,https://www.immobiliare.it/annunci/127602214/,
