id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
126037921,"Stanza singola via Giulio e Corrado Venini, Milano",850,€ 850/mese,1,1,20 m²,,Autonomo,"aria condizionata, arredato",Via Giulio e Corrado Venini,"Pasteur, Rovereto",Rovereto,45.4946,9.2169,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126037921/,
126037969,"Stanza singola via Savona, Milano",890,€ 890/mese,1,1,23 m²,,Centralizzato,"aria condizionata, arredato",Via Savona,"Famagosta, Barona",Giambellino,45.4496,9.1495,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126037969/,
126042489,"Stanza singola via Cesare Battisti, Milano",844,€ 844/mese,1,1,15 m²,,Centralizzato,arredato,Via Cesare Battisti,"Quadronno, Palestro, Guastalla",Guastalla,45.463,9.2,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126042489/,
125812317,"Stanza singola piazza Imperatore Tito, Milano",840,€ 840/mese,1,1,16 m²,,Centralizzato,arredato,Piazza Imperatore Tito,"Porta Vittoria, Lodi",Martini - Insubria,45.4546,9.2187,HousingAnywhere,,10,https://www.immobiliare.it/annunci/125812317/,
126037977,"Stanza singola viale Regina Giovanna, Milano",890,€ 890/mese,1,1,16 m²,,Centralizzato,arredato,Viale Regina Giovanna,"Porta Venezia, Indipendenza",Porta Venezia,45.4733,9.2139,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126037977/,
126042279,"Stanza singola viale Coni Zugna, Milano",940,€ 940/mese,1,1,9 m²,,Autonomo,arredato,Viale Coni Zugna,"Solari, Washington",Solari,45.4573,9.1693,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126042279/,
125418735,"Stanza singola viale Edoardo Jenner, Milano",850,€ 850/mese,1,1,18 m²,,Centralizzato,"aria condizionata, arredato",Viale Edoardo Jenner,"Cenisio, Sarpi, Isola",Farini,45.497,9.1815,HousingAnywhere,,10,https://www.immobiliare.it/annunci/125418735/,
118261989,"Stanza singola via Giuseppe Ripamonti, Milano",950,€ 950/mese,1,1,10 m²,,Centralizzato,"aria condizionata, arredato",Via Giuseppe Ripamonti,"Ripamonti, Vigentino",Ripamonti - Fondazione Prada,45.4363,9.2004,HousingAnywhere,,10,https://www.immobiliare.it/annunci/118261989/,
104457409,"Stanza singola via Giorgio Washington, Milano",1000,€ 1.000/mese,1,1,15 m²,,Centralizzato,arredato,Via Giorgio Washington,"Solari, Washington",Washington,45.4569,9.1549,HousingAnywhere,,10,https://www.immobiliare.it/annunci/104457409/,
126039055,"Stanza singola via Panfilo Castaldi, Milano",1060,€ 1.060/mese,1,1,15 m²,,Autonomo,"aria condizionata, arredato",Via Panfilo Castaldi,"Centrale, Repubblica",Repubblica,45.4779,9.2003,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126039055/,
126038093,"Stanza singola via Sebino, Milano",890,€ 890/mese,1,1,12 m²,,Centralizzato,"aria condizionata, arredato",Via Sebino,"Porta Vittoria, Lodi",Martini - Insubria,45.4509,9.2208,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126038093/,
123802209,"Stanza singola via Francesco Melzi d'Eril, Milano",850,€ 850/mese,1,1,20 m²,,Autonomo,arredato,Via Francesco Melzi d'Eril,"Arco della Pace, Arena, Pagano",Arena,45.4781,9.1743,HousingAnywhere,,10,https://www.immobiliare.it/annunci/123802209/,
126038025,"Stanza singola via Cerva, Milano",1240,€ 1.240/mese,1,1,20 m²,,Autonomo,arredato,Via Cerva,Centro,Borgogna - Largo Augusto,45.4639,9.1984,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126038025/,
126042491,"Stanza singola via Cesare Battisti, Milano",844,€ 844/mese,1,1,15 m²,,Centralizzato,arredato,Via Cesare Battisti,"Quadronno, Palestro, Guastalla",Guastalla,45.463,9.2,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126042491/,
126039049,"Stanza singola via Panfilo Castaldi, Milano",1000,€ 1.000/mese,1,1,10 m²,,Autonomo,"aria condizionata, arredato",Via Panfilo Castaldi,"Centrale, Repubblica",Repubblica,45.4779,9.2003,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126039049/,
126042087,"Stanza singola via Bernardino Verro, Milano",850,€ 850/mese,1,1,20 m²,,Centralizzato,"aria condizionata, arredato",Via Bernardino Verro,"Ripamonti, Vigentino",Ripamonti - Fondazione Prada,45.4384,9.1924,HousingAnywhere,,10,https://www.immobiliare.it/annunci/126042087/,
127118755,"Stanza singola viale Bligny, Milano",1310,€ 1.310/mese,1,1,12 m²,,Centralizzato,arredato,Viale Bligny,Navigli,Bocconi,45.4509,9.1927,HousingAnywhere,,10,https://www.immobiliare.it/annunci/127118755/,
