id,title,price_value,price_formatted,rooms,bathrooms,surface,floor,heating,features,address,macrozone,microzone,latitude,longitude,agency_name,phone_number,photo_count,url,description
120833730,"Stanza singola via Angelo Scarsellini 17, Milano",650,€ 650/mese,5+,2,180 m²,6°,Centralizzato,"terrazzo, balcone, connessione ad internet, ripostiglio, lavatrice, microonde, portineria, armadi, accesso per disabili, cucina",Via Angelo Scarsellini,"Affori, Bovisa",Affori,45.5107,9.17155,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/120833730/,
127252603,"Stanza singola via Ambrogio Binda 56, Milano",600,€ 600/mese,,,20 m²,1°,Centralizzato,"balcone, lavatrice, lavastoviglie, portineria, ingresso privato, armadi",Via Ambrogio Binda,"Famagosta, Barona",Barona,45.4407,9.15466,Privato/Nessuna,,5,https://www.immobiliare.it/annunci/127252603/,
121043418,"Stanza doppia viale Fulvio Testi, Milano",500,€ 1.000/mese | € 500 a posto letto,3,3,,2°,Centralizzato,"balcone, ascensore, lavatrice, portineria, microonde, bagno privato, tv, armadi, cucina",Viale Fulvio Testi,"Maggiolina, Istria",Maggiolina,45.5024,9.19852,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/121043418/,
121762306,"Stanza singola via Leone Tolstoj 24/1, Milano",680,€ 680/mese,,,15 m²,3°,Centralizzato,"connessione ad internet, lavatrice, lavastoviglie, microonde, portineria, con biancheria, bagno privato, armadi, accesso per disabili, bagno per disabili",Via Leone Tolstoj,"Napoli, Soderini",Piazza Napoli,45.4521,9.15073,Privato/Nessuna,,6,https://www.immobiliare.it/annunci/121762306/,
122084980,"Stanza doppia via Giasone del Maino 14, Milano",700,€ 700/mese,3,1,15 m²,3°,Centralizzato,"connessione ad internet, microonde, armadi, cucina",Via Giasone del Maino,"Solari, Washington",Washington,45.4628,9.15323,Privato/Nessuna,,1,https://www.immobiliare.it/annunci/122084980/,
114260519,"Stanza singola via Padova 213, Milano",600,€ 600/mese,2,1,55 m²,3°,Centralizzato,"lavatrice, microonde, portineria, armadi, cucina",Via Padova,"Cimiano, Crescenzago, Adriano",Crescenzago,45.5042,9.24039,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/114260519/,
127105389,"Stanza singola viale Toscana 13, Milano",650,€ 650/mese,2,1,20 m²,1°,Centralizzato,"balcone, ascensore, connessione ad internet, ripostiglio, giardino, lavatrice, lavastoviglie, portineria, armadi, cucina",Viale Toscana,"Ripamonti, Vigentino",Ripamonti - Fondazione Prada,45.4462,9.19283,Privato/Nessuna,,1,https://www.immobiliare.it/annunci/127105389/,
124048519,"Stanza singola via Francesco Cilea, Milano",700,€ 700/mese,2,1,18 m²,4°,Centralizzato,"balcone, ascensore, ripostiglio, giardino, lavatrice, microonde, armadi, cucina",Via Francesco Cilea,"San Siro, Trenno",Gallaratese,45.4974,9.10347,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/124048519/,
120179006,"Stanza singola via Giulio Carcano 33, Milano",670,€ 670/mese,5+,1,30 m²,2°,Autonomo,"balcone, ripostiglio, lavatrice, giardino, connessione ad internet, armadi, cucina",Via Giulio Carcano,"Abbiategrasso, Chiesa Rossa",Pezzotti - Meda,45.4394,9.18221,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/120179006/,
108991059,"Stanza doppia via Gianfranco Zuretti 53, Milano",400,€ 800/mese | € 400 a posto letto,3,1,16 m²,Piano terra,Centralizzato,"ascensore, armadi, cucina",Via Gianfranco Zuretti,"Maggiolina, Istria",Cascina dei Pomi,45.4954,9.20956,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/108991059/,
124974917,"Stanza singola via Mecenate 5, Milano",700,€ 700/mese,5,1,70 m²,Piano rialzato,Centralizzato,"balcone, connessione ad internet, ripostiglio, lavatrice, lavastoviglie, microonde, portineria, armadi, cucina",Via Mecenate,Forlanini,Quartiere Forlanini,45.4561,9.24403,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/124974917/,
113010463,"Stanza singola via André-Marie Ampère 11, Milano",639,€ 639/mese,5+,,,3°,Centralizzato,"ascensore, connessione ad internet, ripostiglio, lavatrice, lavastoviglie, microonde, portineria, armadi, accesso per disabili, cucina",Via André-Marie Ampère,"Città Studi, Susa",Città Studi,45.4807,9.22637,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/113010463/,
122558604,"Stanza singola via Asiago 2, Milano",600,€ 600/mese,3,1,16 m²,4°,Centralizzato,"connessione ad internet, ripostiglio, lavatrice, lavastoviglie, microonde, armadi, cucina",Via Asiago,"Precotto, Turro",Gorla,45.5051,9.22494,Privato/Nessuna,,2,https://www.immobiliare.it/annunci/122558604/,
118598113,"Stanza doppia via Lisiade Pedroni 20, Milano",350,€ 700/mese | € 350 a posto letto,1,2,26 m²,1°,Autonomo,"balcone, terrazzo, connessione ad internet, microonde, lavatrice, giardino, armadi, cucina",Via Lisiade Pedroni,"Affori, Bovisa",Affori,45.5097,9.1689,Privato/Nessuna,,0,https://www.immobiliare.it/annunci/118598113/,
125275777,"Stanza singola via Rovigno 11, Milano",600,€ 600/mese,,1,20 m²,4°,Centralizzato,"portineria, lavatrice, cucina",Via Rovigno,"Precotto, Turro",Turro,45.5067,9.2454,Privato/Nessuna,,7,https://www.immobiliare.it/annunci/125275777/,
126632873,"Stanza singola via San Miniato 8, Milano",680,€ 680/mese,,,20 m²,1°,Centralizzato,"balcone, connessione ad internet, giardino, ripostiglio, lavatrice, microonde, portineria, bagno privato, armadi",Via San Miniato,"Bicocca, Niguarda",Bignami - Ponale,45.5249,9.20657,Privato/Nessuna,,8,https://www.immobiliare.it/annunci/126632873/,
119355357,"Stanza singola via Cuore Immacolato di Maria 12A, Milano",700,€ 700/mese,3,2,,2°,Centralizzato,"terrazzo, balcone, lavatrice, lavastoviglie, bagno privato, cucina",Via Cuore Immacolato di Maria,"Ripamonti, Vigentino",Vigentino - Fatima,45.4359,9.19553,Privato/Nessuna,,1,https://www.immobiliare.it/annunci/119355357/,
126646059,"Stanza singola via Ernesto Breda 22a, Milano",600,€ 600/mese,2,1,10 m²,1°,Centralizzato,cucina,Via Ernesto Breda,"Bicocca, Niguarda",Bicocca,45.5085,9.21399,Privato/Nessuna,,3,https://www.immobiliare.it/annunci/126646059/,
